region,category,n_category,k_pos,expected_pos,fold_enrichment_pos,p_pos_enrich,p_pos_deplete,k_neg,expected_neg,fold_enrichment_neg,p_neg_enrich,p_neg_deplete,q_pos_enrich,q_pos_deplete,q_neg_enrich,q_neg_deplete
cn,Lipid signaling,3141,0,1.79,0.0,0.8331078731467527,0.16689212685324734,9,10.81,0.833,0.6388165620227781,0.36118343797722186,1.0,0.4271698759346275,1.0,0.776124410909193
cn,Metabolic/Other,26193,1,14.9,0.067,0.9999955707902707,4.429209729348575e-06,4,90.12,0.044,1.0,5.480398025129882e-34,1.0,2.338622737096048e-05,1.0,6.936832568794536e-33
cn,Monoamine signaling,39,0,0.02,0.0,0.021948478763469455,0.9780515212365305,0,0.13,0.0,0.12576984501718652,0.8742301549828135,0.07511257176831769,1.0,0.34586707379726295,1.0
cn,Neuropeptide signaling,5528,1,3.14,0.318,0.822410742631502,0.17758925736849793,2,19.02,0.105,0.9999989730747286,1.0269252713811415e-06,1.0,0.4459034614361198,1.0,5.857277473803548e-06
cn,Notch/Hedgehog,19662,2,11.19,0.179,0.999047990872199,0.0009520091278010021,84,67.65,1.242,0.021820994511931438,0.9781790054880687,1.0,0.004229117471577528,0.07497370926310026,1.0
cn,Purinergic signaling,3055,0,1.74,0.0,0.8247084854575709,0.17529151454242906,0,10.51,0.0,0.9999737080462001,2.6291953799932545e-05,1.0,0.4413334044610475,1.0,0.0001313176503304739
cn,Steroid/Retinoid signaling,10982,1,6.25,0.16,0.986367487241067,0.013632512758932989,1,37.78,0.026,0.9999999999999989,1.145080545960036e-15,1.0,0.04901339217608592,1.0,9.888359107168909e-15
cn,Synapse organization,2684,0,1.53,0.0,0.7833627170686439,0.21663728293135606,0,9.23,0.0,0.999905189566012,9.481043398800494e-05,1.0,0.525145832500244,1.0,0.00044925559489700803
cn,Synaptic adhesion,167575,9,95.33,0.094,1.0,2.1227812549880558e-33,426,576.53,0.739,0.9999999999996573,3.430798034787e-13,1.0,2.6152665061452845e-32,1.0,2.663913768187553e-12
cn,Teneurin/Latrophilin,36748,104,20.91,4.975,2.246082350096926e-42,1.0,421,126.43,3.33,8.282976075065928e-102,1.0,3.0975822261038204e-41,1.0,1.9624281777848509e-100,1.0
cn,Wnt signaling,8153,0,4.64,0.0,0.9905341216652955,0.009465878334704478,12,28.05,0.428,0.9994836361398909,0.0005163638601091232,1.0,0.03470822056058309,1.0,0.002385601033704149
ec,Axon guidance,129562,5,9.81,0.51,0.9326659722973044,0.06733402770269555,45,92.66,0.486,0.9999999885528671,1.1447132932649553e-08,1.0,0.20029827976700434,1.0,7.345243631783463e-08
ec,Cholinergic signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
ec,ECM/Adhesion,135164,0,10.24,0.0,0.9999760025788161,2.3997421183871655e-05,70,96.66,0.724,0.9980184755262586,0.001981524473741481,1.0,0.00012050878898857287,1.0,0.00832240278971422
ec,GABA signaling,223780,2,16.95,0.118,0.9999971226150625,2.8773849375735816e-06,0,160.04,0.0,1.0,6.531590265690998e-75,1.0,1.5731974451585736e-05,1.0,1.257331126145517e-73
ec,Gap junction,2448,0,0.19,0.0,0.16935004559154482,0.8306499544084551,0,1.75,0.0,0.826659790432733,0.17334020956726703,0.42988857727084456,1.0,1.0,0.4388119277812459
