ligand,receptor,lr_pair,classification,broad_category,source
CDH1,ITGA2_ITGB1,CDH1|ITGA2_ITGB1,Adhesion by Cadherin,ECM/Adhesion,cpdb_uniprot
COL6A6,ITGA10_ITGB1,COL6A6|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A6,ITGA11_ITGB1,COL6A6|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A6,ITGA2_ITGB1,COL6A6|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL7A1,ITGA1_ITGB1,COL7A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL7A1,ITGA10_ITGB1,COL7A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL7A1,ITGA11_ITGB1,COL7A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL7A1,ITGA2_ITGB1,COL7A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A1,ITGA1_ITGB1,COL8A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A1,ITGA10_ITGB1,COL8A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A1,ITGA11_ITGB1,COL8A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A1,ITGA2_ITGB1,COL8A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A2,ITGA1_ITGB1,COL8A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A2,ITGA10_ITGB1,COL8A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A2,ITGA11_ITGB1,COL8A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL8A2,ITGA2_ITGB1,COL8A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A1,ITGA1_ITGB1,COL9A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A1,ITGA10_ITGB1,COL9A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A1,ITGA11_ITGB1,COL9A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A1,ITGA2_ITGB1,COL9A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A2,ITGA1_ITGB1,COL9A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A2,ITGA10_ITGB1,COL9A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL9A2,ITGA11_ITGB1,COL9A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
